date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:56	31318/31318	---M--	200	added ('OK')	image/jpeg	etag:%227a56-5da4d30b41b00%22	https://karafuru-nfts.com/static/4.jpg	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/4.jpg	(from https://karafuru-nfts.com/)
18:30:57	77677/77677	---M--	200	added ('OK')	image/jpeg	etag:%2212f6d-5da5140ec7e00%22	https://karafuru-nfts.com/static/5.jpg	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/5.jpg	(from https://karafuru-nfts.com/)
18:30:59	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:30:59%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Medium.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Medium.15.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:30:59	631548/631548	---M--	200	added ('OK')	image/gif	etag:%229a2fc-5da4d34c1b400%22	https://karafuru-nfts.com/static/gif.gif	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/gif.gif	(from https://karafuru-nfts.com/)
18:31:00	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:00%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Mediumd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Mediumd41d.16d41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:01	19924/19924	---M--	200	added ('OK')	font/woff2	etag:%224dd4-5d7e33bc70500%22	https://karafuru-nfts.com/static/fonts/BlenderPro-Medium.woff2	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Medium.woff2	(from https://karafuru-nfts.com/static/css/style.css)
18:31:02	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:02%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Medium.woff	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Medium.18.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:03	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:03%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-Medium-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-Medium-2.19.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:04	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:04%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic.1a.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:04	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:04%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-ThinItalicd41d.html?	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-ThinItalicd41d.1bd41d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:05	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:05%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic-2.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic-2.1c.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:06	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:06%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic-3.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic-3.1d.delayed	(from https://karafuru-nfts.com/static/css/style.css)
18:31:07	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:31:07%20GMT	https://karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic-4.html	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/fonts/BlenderPro-ThinItalic-4.1e.delayed	(from https://karafuru-nfts.com/static/css/style.css)
